TIME	DAY	ENTRIES
8pm-12am	Sunday	171758.84782608695
12am-4am	Monday	29355.695652173912
4am-8am	Monday	389029.89130434784
8am-12pm	Monday	690703.304347826
12pm-4pm	Monday	546820.3260869565
4pm-8pm	Monday	872965.8695652174
8pm-12am	Monday	422405.0
12am-4am	Tuesday	34516.67307692308
4am-8am	Tuesday	397396.28846153844
8am-12pm	Tuesday	694702.2115384615
12pm-4pm	Tuesday	554608.0192307692
4pm-8pm	Tuesday	887498.5576923077
8pm-12am	Tuesday	294379.8039215686
12am-4am	Wednesday	36505.72549019608
4am-8am	Wednesday	406516.98039215687
8am-12pm	Wednesday	713367.8823529412
12pm-4pm	Wednesday	576018.1568627451
4pm-8pm	Wednesday	900903.7843137255
8pm-12am	Wednesday	294718.16
12am-4am	Thursday	37401.38
4am-8am	Thursday	401317.28
8am-12pm	Thursday	714988.18
12pm-4pm	Thursday	573907.92
4pm-8pm	Thursday	903776.3
8pm-12am	Thursday	342262.73076923075
12am-4am	Friday	42597.403846153844
4am-8am	Friday	365057.46153846156
8am-12pm	Friday	648389.6923076923
12pm-4pm	Friday	606875.5192307692
4pm-8pm	Friday	827094.0192307692
8pm-12am	Friday	327627.25
12am-4am	Saturday	60153.980769230766
4am-8am	Saturday	110508.38461538461
8am-12pm	Saturday	307693.4038461539
12pm-4pm	Saturday	437684.98076923075
4pm-8pm	Saturday	441968.3461538461
8pm-12am	Saturday	242929.25
12am-4am	Sunday	57425.480769230766
4am-8am	Sunday	72423.09615384616
8am-12pm	Sunday	242432.11538461538
12pm-4pm	Sunday	360905.96153846156
4pm-8pm	Sunday	343715.51923076925
